Site,Latitude,Longitude,Date of deployment,Date of removal,Deployment length (days),Measured Conc (ng/m3),geometry
Abangares,10.2875,-84.95555556,4/23/18,11/22/19 0:00,578,6.87,POINT (-84.95555555555556 10.2875)
"Abrolhos (Redonda Island), BA",-18.13166667,-38.79777778,1/16/18,1/13/19 0:00,362,0.96,POINT (-38.79777777777777 -18.13166666666666)
"Amazonía, Leticia",-4.191527778,-69.93944444,12/14/17,1/9/19 0:00,391,0.97,POINT (-69.93944444444445 -4.191527777777778)
Arauca,7.012713889,-70.74460833,1/22/18,1/4/19 0:00,347,0.91,POINT (-70.74460833333333 7.012713888888888)
Bahia Blanca (after),-38.69952778,-62.44477778,5/4/18,4/30/19 0:00,361,0.95,POINT (-62.44477777777777 -38.69952777777777)
Chacaltaya,-16.35035556,-68.13160278,7/5/18,7/1/19 0:00,361,1.68,POINT (-68.13160277777777 -16.35035555555556)
Corcovado,8.529277778,-83.40727778,5/17/18,9/26/19 0:00,497,0.56,POINT (-83.40727777777778 8.529277777777779)
"Cristalino State Park, MT",-9.597812778,-55.93227611,12/5/17,3/27/19 0:00,477,0.57,POINT (-55.93227611111111 -9.597812777777778)
Glacie Dawin (Schapiarelli),-54.4144,-70.9157,4/20/19,14-Mar-20,329,0.79,POINT (-70.9157 -54.4144)
"Iguaçu National Park, PR",-25.62673611,-54.47865278,10/20/17,11/9/18 0:00,385,0.63,POINT (-54.47865277777778 -25.62673611111111)
"Itatiaia National Park, RJ",-22.38583333,-44.67888889,3/27/18,7/2/19 0:00,462,0.8,POINT (-44.67888888888888 -22.38583333333333)
"Manaus, AM (ATTO Tower)",-2.144,-59,10/24/18,11-Dec-19,413,"1.02(@80m), 0.88(@40m), 0.59(@5m)",POINT (-59 -2.144)
"Moeda, MG",-20.35232222,-43.95251111,4/20/18,2/15/19 0:00,301,1.28,POINT (-43.95251111111111 -20.35232222222222)
"Nova Nazaré, MT",-13.95861667,-51.77693333,4/13/18,4/18/19 0:00,370,0.76,POINT (-51.77693333333333 -13.95861666666667)
"Pico do Jaraguá, SP",-23.45631389,-46.76611667,7/20/18,7/31/19 0:00,376,1.22,POINT (-46.76611666666667 -23.45631388888889)
PNN Brisas,4.971027778,-75.34276111,1/27/18,12/26/18 0:00,333,1.18,POINT (-75.3427611111111 4.971027777777778)
"Puruzinho, AM",-7.370555556,-63.05944444,3/24/18,4/6/19 0:00,378,0.79,POINT (-63.05944444444444 -7.370555555555555)
"Rio Branco, Manizales",5.075833333,-75.43694444,12/27/17,12/27/18 0:00,365,1.25,POINT (-75.43694444444445 5.075833333333333)
"Rio Grande, RS",-32.06890556,-52.161475,2/1/18,1/31/19 0:00,364,1,POINT (-52.161475 -32.06890555555556)
"Rio Grande, RS (Praça Tamandaré)",-32.03358333,-52.0993,12/29/18,12/16/19 0:00,352,0.95,POINT (-52.0993 -32.03358333333333)
"Rocas Atoll, RN",-3.856411111,-33.81742778,11/20/17,2/24/19 0:00,461,0.33,POINT (-33.81742777777778 -3.856411111111111)
"São José dos Ausentes, RS",-28.59665,-49.8131,11/16/17,11/20/18 0:00,369,0.63,POINT (-49.8131 -28.59665)
"São Luis do maranhão, MA",-2.593833333,-44.21119444,4/6/18,4/1/19 0:00,360,1.04,POINT (-44.21119444444444 -2.593833333333333)
Salta,-24.72134167,-65.40606389,12/15/18,6-Jan-20,387,0.99,POINT (-65.40606388888889 -24.72134166666666)
San Jose Downtown,9.938055556,-84.07527778,3/24/18,5/20/19 0:00,422,0.71,POINT (-84.07527777777777 9.938055555555556)
Tegucigalpa,14.0975,-87.20277778,11/14/17,11/14/18 0:00,365,1.95,POINT (-87.20277777777778 14.0975)
Trindade Island,-20.50813889,-29.31213889,6/12/18,8/13/19 0:00,427,1.09,POINT (-29.31213888888889 -20.50813888888889)
Villa Regina,-39.10233333,-67.10836111,5/5/18,5/1/19 0:00,361,0.79,POINT (-67.10836111111111 -39.10233333333333)
