LONG,LATI,OBS,geometry,GChe
-70.9157,-54.4144,0.79,POINT (-70.91570 -54.41440),0.813851
-67.108361,-39.102333,0.79,POINT (-67.10836 -39.10233),0.848303
-62.444778,-38.699528,0.95,POINT (-62.44478 -38.69953),0.840832
-52.161475,-32.068906,1,POINT (-52.16148 -32.06891),0.880331
-52.0993,-32.033583,0.95,POINT (-52.09930 -32.03358),0.880331
-49.8131,-28.59665,0.63,POINT (-49.81310 -28.59665),0.887597
-54.478653,-25.626736,0.63,POINT (-54.47865 -25.62674),0.940196
-65.406064,-24.721342,0.99,POINT (-65.40606 -24.72134),0.894553
-46.766117,-23.456314,1.22,POINT (-46.76612 -23.45631),0.943672
-44.678889,-22.385833,0.8,POINT (-44.67889 -22.38583),0.953619
-29.312139,-20.508139,1.09,POINT (-29.31214 -20.50814),0.893004
-43.952511,-20.352322,1.28,POINT (-43.95251 -20.35232),0.957293
-38.797778,-18.131667,0.96,POINT (-38.79778 -18.13167),0.901757
-68.131603,-16.350356,1.68,POINT (-68.13160 -16.35036),1.450026
-51.776933,-13.958617,0.76,POINT (-51.77693 -13.95862),1.012654
-55.932276,-9.597813,0.57,POINT (-55.93228 -9.59781),1.122719
-63.059444,-7.370556,0.79,POINT (-63.05944 -7.37056),1.089711
-69.939444,-4.191528,0.97,POINT (-69.93944 -4.19153),1.121645
-33.817428,-3.856411,0.33,POINT (-33.81743 -3.85641),0.998682
-44.211194,-2.593833,1.04,POINT (-44.21119 -2.59383),1.041091
-59,-2.144,0.59,POINT (-59.00000 -2.14400),1.142243
-75.342761,4.971028,1.18,POINT (-75.34276 4.97103),2.570005
-75.436944,5.075833,1.25,POINT (-75.43694 5.07583),2.570005
-70.744608,7.012714,0.91,POINT (-70.74461 7.01271),1.194184
-83.407278,8.529278,0.56,POINT (-83.40728 8.52928),1.172202
-84.075278,9.938056,0.71,POINT (-84.07528 9.93806),1.15022
-84.955556,10.2875,6.87,POINT (-84.95556 10.28750),1.185134
-87.202778,14.0975,1.95,POINT (-87.20278 14.09750),1.186665
